RollNo,Aggregate,Backlogs,10th_agg,12th_agg,Workshops,Languages,Target
1000518,80.7,1,83.6,92.6,0,1,Placed
1000519,80.3,0,84.1,91.6,0,4,Placed
1000520,68.2,1,76.1,67.8,1,1,Not Placed
1000521,94.9,0,98.0,98.0,1,1,Placed
1000522,74.4,0,78.4,78.5,0,2,Placed
1000523,81.3,0,92.3,87.8,2,2,Placed
1000524,70.6,1,79.9,71.2,1,2,Not Placed
1000525,63.5,1,66.9,74.3,1,1,Not Placed
1000526,62.9,0,72.3,72.3,0,1,Not Placed
1000527,80.7,0,94.5,86.3,4,2,Placed
1000528,73.2,0,77.0,70.4,0,1,Placed
1000529,90.0,1,98.0,82.6,3,5,Placed
1000530,65.3,0,78.3,78.6,1,1,Placed
1000531,60.7,0,69.7,60.5,1,2,Not Placed
1000532,72.0,0,85.4,71.1,0,1,Placed
1000533,77.4,0,83.6,84.5,0,4,Placed
1000534,98.0,0,98.0,98.0,1,1,Placed
1000535,61.2,0,69.1,63.2,1,1,Not Placed
1000536,82.0,0,91.2,95.0,0,2,Placed
1000537,78.9,1,89.4,92.9,0,3,Placed
1000538,67.5,0,74.7,67.4,1,1,Not Placed
1000539,86.8,0,98.0,91.1,0,1,Placed
1000540,70.9,1,80.6,76.3,0,2,Not Placed
1000541,46.5,0,50.0,50.0,0,3,Not Placed
1000542,91.0,0,93.4,93.4,2,4,Placed
1000543,74.1,0,81.7,73.2,1,2,Placed
1000544,62.0,0,68.2,69.5,0,1,Not Placed
1000545,63.3,0,72.3,73.4,0,2,Not Placed
1000546,73.5,0,77.5,70.6,0,1,Placed
1000547,62.4,0,72.9,74.8,2,1,Not Placed
1000548,85.1,0,95.3,91.1,0,3,Not Placed
1000549,70.8,1,81.0,63.2,1,4,Not Placed
1000550,88.5,0,96.1,90.2,0,2,Placed
1000551,67.2,1,79.4,73.2,0,1,Not Placed
1000552,75.9,0,90.0,82.2,2,2,Placed
1000553,88.6,0,98.0,93.1,1,2,Placed
1000554,85.2,1,98.0,91.0,2,1,Placed
1000555,64.6,0,72.1,65.6,0,1,Not Placed
1000556,65.5,0,72.9,55.9,0,3,Placed
1000557,96.6,0,98.0,98.0,3,1,Not Placed
1000558,97.2,1,98.0,98.0,0,1,Placed
1000559,69.4,0,73.8,68.0,5,2,Not Placed
1000560,68.0,0,70.9,78.8,0,1,Placed
1000561,88.6,1,91.6,91.1,0,4,Placed
1000562,61.0,0,74.7,64.4,0,2,Not Placed
1000563,69.4,0,81.5,74.2,0,1,Placed
1000564,78.0,0,84.3,80.5,0,5,Placed
1000565,55.5,0,69.6,56.1,0,2,Not Placed
1000566,76.1,1,85.5,77.1,0,1,Placed
1000567,77.1,0,80.3,90.2,0,1,Placed
1000568,88.4,0,90.6,84.3,1,2,Placed
1000569,59.4,0,77.9,72.4,0,2,Placed
1000570,86.5,0,91.3,95.9,1,2,Placed
1000571,59.1,0,61.5,63.9,0,1,Not Placed
1000572,49.8,1,58.4,50.0,1,1,Not Placed
1000573,71.6,0,79.0,70.1,0,2,Placed
1000574,79.0,0,74.4,85.1,3,2,Placed
1000575,84.9,0,94.5,90.9,1,1,Placed
1000576,64.4,0,68.7,80.1,0,2,Placed
1000577,88.0,1,96.3,86.5,0,1,Placed
1000578,88.0,0,98.0,98.0,1,2,Placed
1000579,54.2,0,57.4,64.3,3,1,Not Placed
1000580,68.7,1,78.9,83.9,0,2,Not Placed
1000581,72.0,0,73.3,74.9,5,2,Not Placed
1000582,84.1,0,88.5,84.1,1,2,Placed
1000583,68.6,1,66.7,73.8,0,2,Not Placed
1000584,66.0,0,66.9,74.0,3,1,Not Placed
1000585,64.4,0,70.7,71.2,4,1,Not Placed
1000586,71.7,1,76.1,72.7,2,3,Not Placed
1000587,58.6,0,68.7,66.4,0,2,Not Placed
1000588,58.4,0,72.5,64.2,0,1,Not Placed
1000589,98.0,0,98.0,96.7,2,3,Placed
1000590,81.8,1,87.7,91.9,1,1,Placed
1000591,82.5,1,90.8,86.7,0,3,Placed
1000592,76.1,0,82.4,84.1,1,2,Placed
1000593,61.8,0,72.5,71.0,0,3,Not Placed
1000594,60.3,0,75.3,62.4,0,3,Placed
1000595,76.0,0,89.3,88.3,0,1,Placed
1000596,84.0,0,88.3,91.1,0,1,Placed
1000597,72.5,0,85.5,76.7,1,1,Placed
1000598,74.6,0,79.8,71.4,2,1,Placed
1000599,50.6,0,52.6,50.0,0,2,Not Placed
1000600,82.8,0,82.4,91.7,0,1,Placed
1000601,70.5,0,75.0,78.1,0,1,Not Placed
1000602,70.6,1,82.3,64.7,0,2,Not Placed
1000603,74.1,1,88.4,76.9,0,1,Not Placed
1000604,85.7,0,93.8,92.0,0,5,Placed
1000605,71.7,1,80.9,76.8,2,1,Not Placed
1000606,54.9,0,60.4,65.0,0,1,Not Placed
1000607,66.0,1,65.2,73.4,0,1,Not Placed
1000608,71.8,0,84.4,76.1,0,1,Placed
1000609,68.1,0,77.7,68.7,0,1,Not Placed
1000610,77.8,0,83.5,85.8,0,3,Placed
1000611,67.1,0,74.2,73.1,0,1,Placed
1000612,83.2,1,80.0,83.7,0,1,Placed
1000613,78.2,0,81.2,85.3,1,1,Placed
1000614,66.0,0,73.5,69.0,0,1,Not Placed
1000615,70.5,1,76.5,76.9,5,1,Not Placed
1000616,86.4,1,87.0,97.3,0,1,Placed
1000617,77.8,0,80.9,80.8,1,3,Placed
1000618,68.7,1,75.0,78.6,1,2,Not Placed
1000619,55.5,0,62.8,53.4,2,1,Not Placed
1000620,68.1,0,80.1,71.2,1,1,Placed
1000621,70.2,1,75.9,71.2,0,3,Placed
1000622,59.3,0,67.0,65.9,3,1,Not Placed
1000623,91.8,1,94.4,89.5,2,1,Not Placed
1000624,79.4,0,95.0,76.8,2,4,Placed
1000625,69.6,0,77.3,77.3,1,1,Not Placed
1000626,90.2,0,98.0,91.2,2,1,Placed
1000627,49.1,0,64.1,57.7,2,3,Not Placed
1000628,70.5,0,75.7,83.6,0,2,Placed
1000629,68.1,0,69.1,74.2,0,2,Placed
1000630,61.4,0,56.4,75.7,0,1,Placed
1000631,74.7,1,87.5,82.0,1,1,Not Placed
1000632,90.2,0,98.0,95.5,0,2,Placed
1000633,76.7,0,82.9,77.8,2,2,Placed
1000634,86.0,0,93.5,93.7,0,1,Placed
1000635,77.1,0,96.1,85.0,0,1,Placed
1000636,79.6,0,78.2,80.9,4,2,Placed
1000637,94.7,0,98.0,98.0,0,1,Placed
1000638,58.2,0,67.9,64.9,1,4,Not Placed
1000639,73.0,0,83.9,72.8,1,2,Placed
1000640,47.3,0,57.1,55.1,0,1,Not Placed
1000641,65.4,0,65.0,68.1,1,1,Not Placed
1000642,72.1,0,84.2,66.7,3,1,Placed
1000643,68.2,0,71.8,73.0,5,1,Not Placed
1000644,70.8,0,70.8,73.4,0,1,Not Placed
1000645,79.6,1,82.7,85.6,0,1,Placed
1000646,86.1,0,93.1,88.5,0,2,Placed
1000647,70.9,0,75.5,74.4,0,1,Not Placed
1000648,75.4,0,88.4,84.7,0,1,Placed
1000649,55.0,0,65.6,58.9,0,1,Not Placed
1000650,83.1,1,98.0,92.8,1,1,Placed
1000651,67.0,1,74.5,74.0,1,1,Not Placed
1000652,73.5,1,85.0,85.8,0,3,Not Placed
1000653,77.4,0,80.6,84.0,0,1,Placed
1000654,81.2,0,94.8,89.0,0,1,Placed
1000655,63.5,1,69.7,58.5,0,5,Not Placed
1000656,68.5,0,74.7,81.9,0,1,Placed
1000657,49.1,0,61.4,54.5,0,3,Not Placed
1000658,74.0,0,84.1,78.4,0,2,Not Placed
1000659,74.7,0,85.6,76.7,2,1,Placed
1000660,60.2,0,62.8,72.0,5,1,Not Placed
1000661,82.6,0,89.6,88.8,4,1,Placed
1000662,64.9,0,80.0,78.1,0,1,Not Placed
1000663,67.5,0,73.3,67.3,0,1,Not Placed
1000664,92.2,0,98.0,93.5,1,1,Placed
1000665,91.9,0,98.0,94.9,5,1,Placed
1000666,75.1,0,85.5,82.0,0,1,Placed
1000667,75.7,0,81.2,82.0,2,1,Placed
1000668,45.6,0,60.2,53.2,1,1,Not Placed
1000669,66.3,0,72.9,62.1,2,1,Placed
1000670,67.3,0,71.7,64.6,0,1,Not Placed
1000671,70.1,0,78.0,76.6,0,3,Placed
1000672,60.3,1,73.2,62.9,0,2,Not Placed
1000673,76.3,1,86.3,82.6,0,1,Placed
1000674,82.7,0,89.4,93.2,3,4,Placed
1000675,53.2,0,62.4,52.8,0,1,Not Placed
1000676,62.5,1,71.2,69.9,0,1,Placed
1000677,45.0,0,57.0,50.0,3,1,Not Placed
1000678,68.2,0,76.3,82.4,1,5,Placed
1000679,66.2,0,62.3,75.4,0,5,Not Placed
1000680,98.0,1,98.0,98.0,1,5,Placed
1000681,77.0,0,82.0,84.6,0,1,Placed
1000682,71.0,0,86.5,66.8,2,1,Placed
1000683,82.7,0,91.5,98.0,0,5,Placed
1000684,84.7,0,93.7,85.5,0,1,Placed
1000685,89.1,0,98.0,92.6,5,1,Placed
1000686,95.4,0,98.0,98.0,0,1,Placed
1000687,65.7,0,70.7,65.9,5,1,Placed
1000688,75.5,1,83.7,86.3,1,1,Placed
1000689,83.7,1,98.0,91.7,0,3,Placed
1000690,70.3,1,84.4,81.4,1,1,Not Placed
1000691,53.7,1,59.6,51.8,1,1,Not Placed
1000692,75.5,0,83.2,77.4,0,1,Placed
1000693,80.8,0,91.3,87.7,2,1,Placed
1000694,67.2,0,74.4,72.1,0,2,Not Placed
1000695,70.7,0,75.7,80.2,0,2,Placed
1000696,85.0,0,98.0,92.4,1,1,Placed
1000697,64.3,0,77.0,70.2,1,2,Not Placed
1000698,48.4,1,56.0,50.0,0,1,Not Placed
1000699,72.6,0,82.6,81.1,0,2,Not Placed
1000700,67.1,0,76.5,73.5,1,1,Not Placed
1000701,86.3,1,91.0,92.5,0,1,Placed
1000702,76.8,0,81.0,70.0,0,2,Placed
1000703,96.5,0,98.0,98.0,0,1,Placed
1000704,67.1,0,72.0,72.9,2,2,Placed
1000705,79.0,0,91.2,77.2,0,5,Placed
1000706,75.9,1,83.0,86.3,2,5,Not Placed
1000707,83.3,1,93.7,93.7,1,1,Placed
1000708,65.5,0,73.1,73.2,0,1,Placed
1000709,82.5,0,91.5,90.6,0,1,Placed
1000710,71.2,0,80.3,83.0,1,2,Placed
1000711,59.0,0,68.7,59.7,0,2,Not Placed
1000712,70.5,0,83.3,76.6,2,1,Placed
1000713,65.3,0,71.6,72.8,1,1,Placed
1000714,69.4,0,83.3,70.1,2,2,Placed
1000715,73.2,1,86.9,79.7,0,1,Not Placed
1000716,65.5,0,78.5,62.8,0,2,Not Placed
1000717,79.9,0,92.2,90.8,0,1,Placed
1000718,76.6,0,80.6,82.1,0,1,Placed
1000719,76.6,0,91.1,84.4,1,3,Placed
1000720,79.7,0,89.9,77.7,4,1,Placed
1000721,84.6,1,88.4,92.4,0,1,Placed
1000722,66.5,0,72.6,75.9,0,2,Placed
1000723,72.0,1,84.3,85.4,2,1,Not Placed
1000724,74.7,0,82.5,75.0,1,1,Not Placed
1000725,55.8,0,67.2,62.1,0,5,Not Placed
1000726,73.8,0,83.7,75.9,0,1,Placed
1000727,60.8,0,66.7,67.5,0,2,Not Placed
1000728,88.2,0,89.9,98.0,1,1,Placed
1000729,85.7,0,94.6,95.5,2,5,Placed
1000730,85.1,0,98.0,93.8,0,2,Placed
1000731,64.3,0,67.1,79.1,0,1,Not Placed
1000732,73.6,0,81.0,78.1,0,3,Placed
1000733,71.3,0,83.7,71.5,0,1,Placed
1000734,75.3,1,81.8,75.0,1,1,Placed
1000735,92.6,0,98.0,94.8,5,1,Placed
1000736,74.7,0,83.1,86.9,0,5,Not Placed
1000737,72.2,1,77.2,75.7,0,3,Not Placed
1000738,69.0,0,73.6,68.1,0,5,Not Placed
1000739,93.8,0,98.0,93.9,3,1,Placed
1000740,93.3,0,98.0,96.0,1,1,Placed
1000741,59.0,0,67.0,64.8,2,1,Not Placed
1000742,83.1,0,92.3,96.3,0,1,Placed
1000743,87.7,1,94.0,95.2,0,2,Placed
1000744,57.0,0,65.1,69.2,0,1,Placed
1000745,65.9,0,79.6,56.7,0,1,Not Placed
1000746,92.0,1,98.0,98.0,0,1,Placed
1000747,87.1,0,87.4,89.4,3,2,Placed
1000748,54.6,0,62.3,50.0,1,3,Not Placed
1000749,45.0,0,56.2,58.1,1,1,Not Placed
1000750,75.4,0,82.5,80.6,1,1,Placed
1000751,79.5,0,88.7,80.5,0,2,Placed
1000752,68.1,0,70.3,69.9,1,1,Not Placed
1000753,92.0,0,98.0,88.8,0,5,Placed
1000754,56.9,0,68.6,65.4,1,3,Not Placed
1000755,85.3,0,98.0,86.8,1,1,Placed
1000756,64.2,1,64.1,68.8,0,1,Not Placed
1000757,74.9,0,82.0,78.9,2,2,Placed
1000758,54.0,0,66.8,62.4,0,4,Not Placed
1000759,78.9,0,91.7,83.7,3,1,Placed
1000760,77.9,1,88.6,84.9,0,4,Placed
1000761,76.3,1,96.2,87.2,1,1,Not Placed
1000762,72.5,0,79.1,82.5,0,1,Placed
1000763,78.2,0,87.3,80.8,1,2,Placed
1000764,76.9,1,80.1,83.3,0,4,Placed
1000765,83.5,1,84.7,92.0,2,3,Not Placed
1000766,45.0,0,53.6,50.7,1,1,Not Placed
1000767,59.0,0,65.8,61.9,3,1,Not Placed
1000768,75.0,0,78.9,76.7,1,1,Placed
1000769,80.7,0,83.7,86.9,0,1,Placed
1000770,67.1,0,76.5,75.4,1,1,Not Placed
1000771,72.2,0,74.8,61.3,2,3,Placed
1000772,70.8,0,68.3,79.4,0,1,Placed
1000773,64.2,1,71.6,70.5,0,1,Not Placed
1000774,71.4,0,78.7,66.1,0,5,Placed
1000775,80.9,0,87.6,77.9,2,1,Placed
1000776,71.3,0,77.6,80.1,0,2,Placed
1000777,49.0,0,58.6,52.8,0,2,Not Placed
1000778,71.7,1,73.0,76.3,3,1,Not Placed
1000779,74.9,0,87.2,74.0,0,1,Placed
1000780,72.6,0,88.1,75.3,0,2,Placed
1000781,62.9,1,74.3,67.2,1,2,Not Placed
1000782,62.3,0,68.8,64.4,1,1,Not Placed
1000783,77.8,0,91.7,94.5,0,1,Placed
1000784,63.9,0,74.0,66.5,0,1,Not Placed
1000785,62.1,0,71.0,66.9,0,1,Placed
1000786,65.6,0,74.3,86.0,1,1,Placed
1000787,88.3,0,89.6,95.5,0,5,Placed
1000788,79.0,0,90.1,89.0,2,4,Placed
1000789,88.5,1,98.0,91.1,0,1,Placed
1000790,81.0,0,88.1,81.9,0,1,Placed
1000791,57.4,1,56.9,56.8,2,2,Not Placed
1000792,55.5,1,56.2,63.7,0,1,Not Placed
1000793,83.1,0,88.5,94.8,1,3,Placed
1000794,66.9,0,69.3,78.7,3,3,Placed
1000795,87.5,0,98.0,96.6,1,1,Placed
1000796,66.6,0,75.8,69.1,0,1,Not Placed
1000797,59.9,0,72.8,67.3,0,1,Not Placed
1000798,72.0,0,86.2,75.6,1,1,Not Placed
1000799,64.9,1,83.9,75.9,1,1,Not Placed
1000800,67.4,0,77.5,80.0,1,1,Not Placed
1000801,76.4,0,86.8,81.0,0,1,Placed
1000802,70.5,0,80.1,73.9,0,2,Placed
1000803,82.0,0,86.3,72.8,2,1,Placed
1000804,54.3,0,55.5,56.8,1,2,Not Placed
1000805,85.7,0,94.4,92.1,1,2,Placed
1000806,74.3,0,94.3,76.0,0,4,Placed
1000807,69.3,0,78.9,83.2,1,1,Not Placed
1000808,66.9,0,72.6,67.0,1,2,Not Placed
1000809,62.0,0,69.2,65.4,5,2,Not Placed
1000810,72.1,1,78.9,81.0,5,1,Not Placed
1000811,73.6,0,79.2,79.5,0,1,Placed
1000812,98.0,0,98.0,98.0,2,2,Placed
1000813,56.9,0,66.0,66.4,1,1,Not Placed
1000814,98.0,0,98.0,98.0,1,1,Placed
1000815,83.6,0,91.5,79.5,0,1,Placed
1000816,80.7,1,90.5,84.1,0,1,Placed
1000817,80.9,1,93.6,83.9,0,1,Placed
1000818,80.9,0,87.9,87.5,0,1,Placed
1000819,72.0,0,76.2,81.5,1,2,Not Placed
1000820,72.5,0,85.7,86.2,0,1,Placed
1000821,96.7,0,98.0,98.0,1,5,Placed
1000822,73.0,0,77.4,81.1,0,2,Placed
1000823,68.7,1,70.3,69.5,1,4,Not Placed
1000824,62.8,0,71.1,71.3,2,2,Not Placed
1000825,86.3,0,94.5,95.3,0,1,Placed
1000826,66.2,0,86.9,74.5,0,1,Not Placed
1000827,71.9,0,76.2,68.6,0,5,Placed
1000828,68.9,1,76.6,70.7,0,1,Placed
1000829,79.3,1,90.3,87.7,3,3,Placed
1000830,76.7,0,87.0,84.6,1,5,Placed
1000831,66.6,1,77.8,68.5,0,1,Not Placed
1000832,84.4,0,90.4,93.4,3,1,Placed
1000833,57.9,1,65.7,54.1,0,1,Not Placed
1000834,69.8,0,72.1,87.5,0,2,Not Placed
1000835,79.8,0,82.8,82.0,1,1,Placed
1000836,78.6,0,95.6,91.4,0,1,Placed
1000837,48.1,1,58.4,54.2,0,1,Not Placed
1000838,67.6,0,76.6,68.6,0,1,Not Placed
1000839,45.0,0,50.0,50.0,2,2,Not Placed
1000840,68.0,0,73.5,78.0,1,1,Not Placed
1000841,98.0,0,98.0,98.0,0,3,Placed
1000842,75.5,1,81.0,80.6,1,1,Placed
1000843,45.0,0,59.6,50.8,0,2,Not Placed
1000844,93.7,0,98.0,98.0,1,2,Placed
1000845,61.6,0,65.6,67.4,0,2,Not Placed
1000846,83.7,0,91.6,93.1,3,2,Placed
1000847,69.6,1,75.6,78.7,0,1,Not Placed
1000848,62.2,1,64.5,70.2,0,1,Not Placed
1000849,51.3,0,55.5,62.1,2,1,Not Placed
1000850,85.1,1,90.4,91.9,0,1,Placed
1000851,83.6,0,94.2,86.7,0,2,Placed
1000852,54.4,0,56.0,62.7,2,1,Not Placed
1000853,59.0,0,72.6,61.4,0,2,Not Placed
1000854,54.0,0,57.5,69.1,3,1,Not Placed
1000855,78.7,0,88.2,85.0,0,1,Placed
1000856,62.9,0,66.0,77.4,0,1,Placed
1000857,54.8,0,61.9,66.6,0,4,Not Placed
1000858,74.7,0,76.7,80.6,2,1,Not Placed
1000859,60.4,0,60.4,61.9,1,1,Placed
1000860,75.1,0,89.0,75.0,0,1,Placed
1000861,60.3,0,70.5,63.8,0,1,Not Placed
1000862,59.4,0,69.5,69.4,0,5,Not Placed
1000863,61.2,0,72.3,50.0,0,2,Not Placed
1000864,74.0,0,87.8,74.9,0,1,Placed
1000865,52.7,0,57.6,56.3,1,1,Not Placed
1000866,69.7,0,70.2,77.9,0,1,Placed
1000867,81.7,0,89.1,93.9,0,1,Placed
1000868,77.2,0,88.9,84.4,5,1,Placed
1000869,72.2,1,83.5,71.9,0,4,Placed
1000870,82.1,0,90.2,85.1,1,1,Not Placed
1000871,59.6,0,65.9,58.1,0,2,Not Placed
1000872,73.2,1,82.0,83.7,0,3,Not Placed
1000873,54.3,1,62.6,55.2,0,1,Not Placed
1000874,78.4,0,86.9,84.5,0,3,Placed
1000875,63.3,1,74.3,65.0,0,2,Not Placed
1000876,67.4,0,65.5,67.5,1,1,Not Placed
1000877,67.2,0,74.4,60.2,3,2,Placed
1000878,62.7,1,61.9,61.2,0,1,Not Placed
1000879,81.5,0,76.5,83.9,5,1,Placed
1000880,61.8,0,67.1,67.9,0,4,Placed
1000881,81.2,1,98.0,91.9,0,1,Placed
1000882,83.7,0,98.0,87.9,0,4,Placed
1000883,61.7,0,69.6,74.6,0,3,Not Placed
1000884,68.1,0,76.7,70.4,0,3,Placed
1000885,76.6,0,71.5,75.2,0,3,Placed
1000886,95.5,0,98.0,98.0,0,4,Placed
1000887,79.2,0,94.2,78.1,0,1,Placed
1000888,70.5,0,75.2,83.4,2,2,Placed
1000889,67.1,1,78.8,72.4,2,3,Not Placed
1000890,59.4,1,54.7,60.5,0,4,Not Placed
1000891,62.6,0,69.3,70.9,1,1,Not Placed
1000892,78.1,0,89.2,86.1,0,1,Placed
1000893,45.0,0,50.0,54.3,0,1,Not Placed
1000894,69.8,0,77.3,76.5,2,4,Not Placed
1000895,91.4,0,96.5,96.4,5,1,Placed
1000896,57.2,0,70.0,55.5,2,1,Not Placed
1000897,97.6,0,98.0,98.0,0,2,Placed
1000898,69.9,0,81.1,80.2,1,4,Placed
1000899,71.6,0,80.6,75.2,0,3,Not Placed
1000900,72.4,0,83.8,75.1,1,1,Placed
1000901,76.0,1,81.7,75.4,0,2,Placed
1000902,55.8,0,63.9,65.0,2,1,Not Placed
1000903,96.4,0,98.0,98.0,0,2,Placed
1000904,65.4,1,72.1,71.5,0,1,Not Placed
1000905,78.0,0,78.8,86.5,0,1,Placed
1000906,69.4,0,82.3,73.6,0,1,Not Placed
1000907,81.2,0,90.1,84.2,1,3,Placed
1000908,84.5,0,92.9,85.6,0,1,Placed
1000909,71.6,0,89.6,74.3,0,1,Not Placed
1000910,75.9,0,88.7,82.7,0,4,Placed
1000911,66.4,0,72.9,64.0,1,2,Placed
1000912,81.4,0,86.6,76.8,1,2,Placed
1000913,67.2,0,80.6,77.3,0,3,Placed
1000914,61.5,0,65.5,65.1,2,1,Not Placed
1000915,82.5,0,87.0,90.8,1,1,Placed
1000916,80.3,1,91.9,86.1,0,1,Placed
1000917,80.9,0,95.4,68.3,0,3,Placed
1000918,76.3,0,81.8,80.6,0,1,Placed
1000919,78.1,0,83.2,79.4,0,1,Placed
1000920,56.8,0,63.9,55.9,1,2,Not Placed
1000921,72.4,0,77.6,75.5,0,3,Not Placed
1000922,70.7,1,81.8,72.8,1,1,Not Placed
1000923,71.1,0,81.0,80.4,0,3,Not Placed
1000924,73.0,0,75.9,78.7,2,1,Placed
1000925,67.9,0,74.8,74.8,3,1,Not Placed
1000926,66.8,0,83.4,74.6,0,2,Placed
1000927,59.6,1,66.0,52.6,0,1,Not Placed
1000928,70.3,0,78.5,73.4,0,2,Placed
1000929,80.6,0,82.4,88.2,1,1,Placed
1000930,67.4,1,76.4,66.2,5,1,Not Placed
1000931,71.7,0,75.2,78.4,0,1,Not Placed
1000932,65.8,0,78.0,61.3,0,1,Not Placed
1000933,75.1,1,79.4,90.0,4,1,Placed
1000934,94.7,1,98.0,96.8,2,1,Placed
1000935,64.6,1,61.7,71.0,0,1,Not Placed
1000936,77.5,0,96.0,90.5,1,1,Placed
1000937,61.7,0,79.0,65.4,4,1,Placed
1000938,98.0,1,98.0,98.0,0,1,Placed
1000939,80.3,0,87.7,73.7,1,1,Placed
1000940,85.2,1,98.0,85.5,0,1,Placed
1000941,75.1,0,82.4,75.9,0,5,Placed
1000942,58.6,1,72.6,72.9,0,2,Not Placed
1000943,60.6,0,70.2,69.0,0,1,Not Placed
1000944,49.1,0,64.4,57.5,5,1,Not Placed
1000945,58.7,0,58.6,62.0,2,1,Not Placed
1000946,60.9,1,66.1,61.5,1,1,Not Placed
1000947,79.5,0,83.6,83.2,0,2,Placed
1000948,68.0,1,67.0,72.2,0,1,Placed
1000949,74.6,0,75.8,85.7,1,1,Placed
1000950,62.2,0,71.8,58.9,1,3,Not Placed
1000951,66.6,0,67.7,69.2,0,1,Placed
1000952,69.3,0,80.8,79.8,1,2,Placed
1000953,67.4,0,62.9,74.0,1,2,Placed
1000954,70.2,0,83.5,74.3,1,1,Placed
1000955,58.8,0,67.3,66.2,2,1,Not Placed
1000956,81.6,0,80.2,84.6,1,1,Placed
1000957,77.8,1,86.6,77.5,4,1,Placed
1000958,80.1,0,88.9,86.3,2,1,Placed
1000959,61.2,0,68.4,63.6,1,1,Not Placed
1000960,86.7,0,86.8,98.0,0,1,Placed
1000961,80.5,1,94.7,85.5,1,2,Placed
1000962,52.0,1,52.5,57.7,5,1,Placed
1000963,64.2,0,75.7,66.6,1,4,Not Placed
1000964,66.7,0,84.9,65.0,1,1,Not Placed
1000965,69.4,0,73.5,76.0,1,1,Not Placed
1000966,80.2,1,77.5,86.7,1,3,Placed
1000967,57.6,0,66.1,57.4,1,1,Not Placed
1000968,62.4,1,70.6,69.9,3,1,Not Placed
1000969,81.0,1,93.7,79.9,0,2,Placed
1000970,85.8,1,87.7,83.3,0,1,Placed
1000971,85.7,0,86.5,87.8,0,1,Placed
1000972,71.3,0,81.5,70.4,1,1,Placed
1000973,74.7,0,87.2,79.0,2,1,Placed
1000974,68.2,0,76.8,70.4,0,1,Placed
1000975,73.8,0,78.2,76.3,1,1,Placed
1000976,82.4,1,81.9,90.3,2,2,Placed
1000977,80.7,0,87.0,86.3,1,2,Placed
1000978,55.9,0,59.6,64.6,0,2,Not Placed
1000979,76.7,0,93.5,95.6,1,2,Not Placed
1000980,72.6,0,84.2,73.1,2,2,Placed
1000981,71.5,0,77.8,79.2,1,4,Placed
1000982,92.5,0,96.6,98.0,0,1,Placed
1000983,87.4,0,96.5,98.0,2,1,Placed
1000984,68.3,1,68.5,72.6,5,1,Not Placed
1000985,81.3,1,91.3,87.5,0,1,Placed
1000986,72.9,0,84.6,81.4,0,2,Placed
1000987,74.7,0,85.3,76.1,0,1,Placed
1000988,78.4,0,82.8,78.6,1,1,Placed
1000989,77.4,1,81.2,86.9,3,3,Placed
1000990,62.9,0,71.9,72.6,1,1,Not Placed
1000991,87.3,1,95.4,98.0,1,1,Placed
1000992,85.1,0,90.2,75.9,0,3,Placed
1000993,85.9,0,83.2,90.2,3,1,Placed
1000994,54.3,0,63.6,65.7,0,4,Not Placed
1000995,82.4,1,86.8,85.7,0,2,Placed
1000996,70.1,1,73.5,66.7,4,3,Not Placed
1000997,73.3,0,89.2,75.2,0,3,Not Placed
1000998,80.5,1,78.9,83.6,0,3,Placed
1000999,56.2,0,72.1,65.5,0,3,Not Placed
1001000,63.3,0,70.8,70.4,2,1,Placed
1001001,86.0,1,98.0,85.6,2,1,Placed
1001002,50.4,1,50.5,54.0,0,1,Placed
1001003,67.7,0,72.9,67.2,0,1,Not Placed
1001004,73.1,0,85.9,72.2,1,1,Placed
1001005,91.0,0,98.0,96.6,0,3,Placed
1001006,52.7,0,56.1,57.8,2,1,Not Placed
1001007,57.6,0,65.2,72.0,0,3,Not Placed
1001008,63.3,0,66.9,69.8,0,1,Not Placed
1001009,67.6,0,72.5,72.9,0,1,Not Placed
1001010,93.2,0,95.9,95.2,2,2,Placed
1001011,78.0,0,83.1,81.2,1,2,Placed
1001012,45.3,0,51.2,50.0,1,2,Not Placed
1001013,68.0,0,73.0,73.7,3,1,Not Placed
1001014,68.7,1,78.0,71.8,0,1,Not Placed
1001015,80.9,1,93.5,85.0,5,2,Placed
1001016,72.4,1,85.0,78.0,1,2,Placed
1001017,74.2,1,77.0,82.7,0,2,Not Placed
1001018,89.2,0,96.0,88.2,0,1,Placed
1001019,80.1,0,87.0,77.9,3,1,Placed
1001020,64.6,0,74.0,59.9,2,1,Not Placed
1001021,83.7,1,90.8,94.8,1,1,Placed
1001022,70.2,0,85.9,80.0,1,3,Placed
1001023,70.7,0,76.3,68.7,2,1,Placed
1001024,65.5,0,79.2,68.3,2,1,Placed
1001025,68.5,0,77.2,73.3,5,1,Placed
1001026,66.8,1,83.9,71.1,4,2,Not Placed
1001027,70.0,0,72.2,71.4,0,1,Placed
1001028,71.8,0,78.1,87.6,0,1,Not Placed
1001029,53.5,0,58.9,61.9,1,2,Not Placed
1001030,48.2,1,55.5,52.0,1,2,Not Placed
1001031,69.7,0,76.9,80.2,1,5,Not Placed
1001032,68.9,0,70.2,71.3,2,2,Placed
1001033,70.5,0,82.7,79.3,1,1,Not Placed
1001034,60.4,0,77.0,60.8,0,1,Not Placed
1001035,81.7,0,91.4,82.6,0,1,Placed
1001036,80.9,0,85.3,85.4,1,1,Placed
1001037,75.7,0,74.7,82.3,0,2,Placed
